date,title,source,keyword_type
2019-09-27 00:00:00,'Anthropocene' Documentary Shows How Humans Are Wreaking Havoc On The Planet,HuffPost,Anthropocene
2017-10-18 00:00:00,From Anthropocene To Ecocene By 2050?,HuffPost,Anthropocene
2015-11-08 00:00:00,Human Rights in the Anthropocene,HuffPost,Anthropocene
2014-11-29 00:00:00,Welcome to the Anthropocene: Anthropology and the Political Moment,HuffPost,Anthropocene
2013-12-08 00:00:00,When Did The 'Anthropocene' Begin? Scientists Outline Plan For Settling Debate,HuffPost,Anthropocene
2013-06-30 00:00:00,In the Shit With Thoreau: A Walden for the Anthropocene,HuffPost,Anthropocene
2015-01-18 00:00:00,STUDY: Ocean Life Faces Mass Extinction,HuffPost,Sixth Extinction
2017-06-09 00:00:00,"World Order Could Hinge On Solving The Climate Crisis, Security Experts Warn",HuffPost,Climate Crisis
2017-06-04 00:00:00,"While President Trump Withdraws From The Paris Climate Agreement, Teenagers Like Myself are Fighting the Climate Crisis Head-On",HuffPost,Climate Crisis
2017-04-27 00:00:00,"In The Fight For Racial Justice, We Cannot Overlook The Climate Crisis",HuffPost,Climate Crisis
2015-12-22 00:00:00,How 19 Big-Name Corporations Plan to Make Money Off the Climate Crisis,HuffPost,Climate Crisis
2014-09-24 00:00:00,"In the Philippines, We've Felt the Effects of Climate Crisis and We Demand Change",HuffPost,Climate Crisis
2014-09-20 00:00:00,Climate Crisis Is Every Working Person's Crisis,HuffPost,Climate Crisis
2014-08-29 00:00:00,Climate Crisis a Public-Health Emergency Too: Why Nurses Will Join Climate March Sept. 21,HuffPost,Climate Crisis
2013-09-02 00:00:00,Island Nations Lead Where All Must Follow in a Looming Climate Crisis,HuffPost,Climate Crisis
2023-01-06, H-bombs or chicken bones: the race to define the start of the Anthropocene,The Guardian,Anthropocene
2023-01-05,‘There’s been a fundamental change in our planet’: hunt on for spot to mark the start of the Anthropocene epoch,The Guardian,Anthropocene
2022-02-24, Universal basic income and rewilding can meet Anthropocene demandsSimon Lewis and Mark Maslin,The Guardian,Anthropocene
2020-03-26," We created the Anthropocene, and the Anthropocene is biting backAlastair Gee and Dani Anguiano",The Guardian,Anthropocene
2018-02-07,LettersThe dark side of the Anthropocene,The Guardian,Anthropocene
2023-11-28, This article is more than 1 month oldA nautilus: a mass extinction event survivor in a galaxy spiral shellThis article is more than 1 month oldHelen Sullivan,The Guardian,Sixth Extinction
," Humanity has become ‘weapon of mass extinction’, UN head tells Cop15 launch",The Guardian,Sixth Extinction
2022-11-04, Fossil fuel burning once caused a mass extinction – now we’re risking anotherGeorge Monbiot,The Guardian,Sixth Extinction
2021-11-13, Earth has seen five mass extinction events. What can we learn from them?Daniel H Rothman,The Guardian,Sixth Extinction
2020-06-02, UN draft plan sets 2030 target to avert Earth's sixth mass extinction,The Guardian,Sixth Extinction
2018-02-13,Burning coal may have caused Earth’s worst mass extinction,The Guardian,Sixth Extinction
2019-11-02,ReviewVesper Flights by Helen Macdonald review – towards the sixth extinction,The Guardian,Sixth Extinction
2018-06-15, Bumblebees' decline points to mass extinction – study,The Guardian,Sixth Extinction
2021-05-22,Top scientists warn of 'ghastly future of mass extinction' and climate disruption,The Guardian,Sixth Extinction
2020-02-01," Sixth mass extinction of wildlife accelerating, scientists warn",The Guardian,Sixth Extinction
2019-03-10," Ocean acidification can cause mass extinctions, fossils reveal",The Guardian,Sixth Extinction
2022-04-21," Climate crisis could lead to rise of smaller bees, study finds",The Guardian,Climate Crisis
2021-10-13," More Australians than ever are worried about the climate crisis, annual survey suggests",The Guardian,Climate Crisis
2021-01-20," The climate crisis requires a new culture and politics, not just new techPeter Sutoris",The Guardian,Climate Crisis
2023-07-19,InterviewPascal Soriot of AstraZeneca: ‘The climate crisis is a health crisis’Julia Kollewe,The Guardian,Climate Crisis
2022-11-21,AnalysisCould Barbados blueprint be a Marshall Plan for the climate crisis?Ashish Ghadiali,The Guardian,Climate Crisis
2022-11-07, Cop27 is here and the climate crisis is daunting but here’s the key to tackling it – cheer up Isabel Losada,The Guardian,Climate Crisis
2023-08-03, This article is more than 5 months oldExtreme weather: the climate crisis in four chartsThis article is more than 5 months old,The Guardian,Climate Crisis
2022-01-17," Climate crisis could wipe 1% a year off UK economy by 2045, say ministers",The Guardian,Climate Crisis
2023-11-27, This article is more than 1 month oldAd industry grapples with role selling consumption in climate crisisThis article is more than 1 month old,The Guardian,Climate Crisis
2022-02-03, Why our secret weapon against the climate crisis could be humourAdam McKay and Dr Ayana Elizabeth Johnson,The Guardian,Climate Crisis
2023-07-26, This article is more than 5 months oldWhat frightens me about the climate crisis is we don’t know how bad things really areThis article is more than 5 months oldRoger Harrabin,The Guardian,Climate Crisis
2020-11-08,AnalysisG7 leaders face make-or-break moment in climate crisisFiona Harvey Environment correspondent,The Guardian,Climate Crisis
2021-10-26," Climate crisis: economists ‘grossly undervalue young lives’, warns Stern",The Guardian,Climate Crisis
2021-11-09," Changes in behaviour needed to tackle climate crisis, says UK chief scientist",The Guardian,Climate Crisis
,ExplainerClimate crisis: what can I do from the UK to help save the planet?,The Guardian,Climate Crisis
2020-04-25," Australian government must protect young people from climate crisis harm, court declares",The Guardian,Climate Crisis
2022-06-10," Disabled people being ‘systematically ignored’ on climate crisis, says study",The Guardian,Climate Crisis
2021-10-26,How does Australia’s response to the climate crisis compare with the rest of the world?,The Guardian,Climate Crisis
2022-06-02, Can Australian gas help the world navigate the climate crisis? Or is it just more hot air?Graham Readfearn,The Guardian,Climate Crisis
2021-04-15, Time is running short – but we can get a grip on the climate crisisAlok Sharma,The Guardian,Climate Crisis
2022-11-24,‘The ghost that haunts Monteverde’: how the climate crisis killed the golden toad,The Guardian,Climate Crisis
2023-08-01, This article is more than 5 months oldThe lesson from the Greece wildfires? The climate crisis is coming for us allThis article is more than 5 months oldNesrine Malik,The Guardian,Climate Crisis
2020-08-28,'A duty of care': Australian teenagers take their climate crisis plea to court,The Guardian,Climate Crisis
2020-06-23,"  Banks should invest in nature to fight climate crisis, says Prince William",The Guardian,Climate Crisis
2021-10-28, Lego issues Cop26 handbook by children on how to tackle climate crisis,The Guardian,Climate Crisis
2024-01-03,AnalysisThe two Australias at Cop28: a country at odds with itself on the climate crisisAdam Morton in Dubai,The Guardian,Climate Crisis
2020-02-26,LettersFighting the climate crisis? It’s a no-brainer,The Guardian,Climate Crisis
2023-12-12, This article is more than 1 month oldExplainerWhy ‘implementation’ matters in the global fight against the climate crisisThis article is more than 1 month old,The Guardian,Climate Crisis
2022-06-12," Climate crisis is ‘battering our economy’ and driving inflation, new book says",The Guardian,Climate Crisis
2023-08-10, This article is more than 5 months oldWorld’s oldest moss could go extinct as a result of climate crisisThis article is more than 5 months old,The Guardian,Climate Crisis
2022-08-30, Scientists call on colleagues to protest climate crisis with civil disobedience,The Guardian,Climate Crisis
2021-10-31, Eco-anxiety over climate crisis suffered by all ages and classes,The Guardian,Climate Crisis
2023-09-15, This article is more than 4 months oldAnalysisLibya’s floods are result of climate crisis meeting a failed stateThis article is more than 4 months oldPatrick Wintour Diplomatic editor,The Guardian,Climate Crisis
2021-10-28,AnalysisRishi Sunak’s budget is gambling with the climate crisisDamian Carrington Environment editor,The Guardian,Climate Crisis
2023-08-24, This article is more than 4 months oldRepublican activist says party ‘deserves to lose’ if it fails to address climate crisisThis article is more than 4 months old,The Guardian,Climate Crisis
2022-08-17, Golden eagles face double threat as US wind turbines add to climate crisis peril,The Guardian,Climate Crisis
," Climate crisis poses ‘serious risks’ to US economy, Biden administration warns",The Guardian,Climate Crisis
2022-10-28," Climate crisis fuelling unseasonably warm October in UK and Europe, say experts",The Guardian,Climate Crisis
2022-11-07,Why scientists are using the word scary over the climate crisis,The Guardian,Climate Crisis
2023-11-29, This article is more than 1 month oldSolar panels pull medieval King’s College chapel into climate crisis eraThis article is more than 1 month old,The Guardian,Climate Crisis
2021-11-15, Artists must confront the climate crisis – we must write as if these are the last daysBen Okri,The Guardian,Climate Crisis
, Australia ranked last of 60 countries for policy response to climate crisis,The Guardian,Climate Crisis
2019-06-15, The climate crisis can't be solved by carbon accounting tricksSimon Lewis,The Guardian,Climate Crisis
2023-01-20, This article is more than 11 months oldThe climate crisis threatens economic stability – why are central bankers divided?This article is more than 11 months oldHoward Davies,The Guardian,Climate Crisis
, This article is more than 2 months oldChina and US pledge to fight climate crisis ahead of Xi-Biden summitThis article is more than 2 months old,The Guardian,Climate Crisis
2022-12-03, Earthshot fund gives £1m to UK scientists fighting climate crisis,The Guardian,Climate Crisis
," This article is more than 1 month oldBan private jets to address climate crisis, says Thomas PikettyThis article is more than 1 month old",The Guardian,Climate Crisis
